point,salary,year
46,48096,2010
45,46696,2010
44,45336,2010
43,44016,2010
42,42733,2010
41,41489,2010
40,40280,2010
39,39107,2010
38,37990,2010
37,36862,2010
36,35788,2010
35,34745,2010
34,33734,2010
33,32751,2010
32,31798,2010
31,30870,2010
30,29972,2010
29,29099,2010
28,28251,2010
27,27428,2010
26,26629,2010
25,25854,2010
24,25101,2010
23,24370,2010
22,23661,2010
21,22971,2010
20,22325,2010
19,21652,2010
18,21021,2010
17,20409,2010
16,19822,2010
15,19261,2010
14,18718,2010
13,18190,2010
12,17677,2010
11,17179,2010
10,16696,2010
9,16226,2010
8,15782,2010
7,15353,2010
6,15001,2010
5,14608,2010
4,14226,2010
3,13911,2010
2,13552,2010
1,13203,2010
66,90555,2009
65,88008,2009
64,85461,2009
63,82280,2009
62,78640,2009
61,76506,2009
60,73919,2009
59,71502,2009
58,69084,2009
57,66975,2009
56,64865,2009
55,62887,2009
54,60906,2009
53,59052,2009
52,57189,2009
51,55535,2009
50,53918,2009
49,52347,2009
48,50822,2009
47,49342,2009
46,47905,2009
45,46510,2009
44,45155,2009
43,43840,2009
42,42563,2009
41,41323,2009
40,40119,2009
39,38951,2009
38,37839,2009
37,36715,2009
36,35646,2009
35,34607,2009
34,33600,2009
33,32620,2009
32,31671,2009
31,30747,2009
30,29853,2009
29,28983,2009
28,28139,2009
27,27319,2009
26,26523,2009
25,25751,2009
24,25001,2009
23,24273,2009
22,23566,2009
21,22879,2009
20,22236,2009
19,21565,2009
18,20938,2009
17,20327,2009
16,19743,2009
15,19185,2009
14,18643,2009
13,18117,2009
12,17606,2009
11,17111,2009
10,16629,2009
9,16161,2009
8,15719,2009
7,15292,2009
6,14942,2009
5,14550,2009
4,14170,2009
3,13856,2009
2,13498,2009
1,13150,2009
1,13953,2014
2,14257,2014
3,14631,2014
4,14959,2014
5,15356,2014
6,15765,2014
7,16131,2014
8,16577,2014
9,17039,2014
10,17528,2014
11,18031,2014
12,18549,2014
13,19083,2014
14,19632,2014
15,20198,2014
16,20781,2014
17,21391,2014
18,22029,2014
19,22685,2014
20,23386,2014
21,24057,2014
22,24775,2014
23,25513,2014
24,26274,2014
25,27057,2014
26,27864,2014
27,28695,2014
28,29552,2014
29,30434,2014
30,31342,2014
31,32277,2014
32,33242,2014
33,34233,2014
34,35256,2014
35,36309,2014
36,37394,2014
37,38511,2014
38,39685,2014
39,40847,2014
40,42067,2014
41,43325,2014
42,44620,2014
43,45954,2014
44,47328,2014
45,48743,2014
46,50200,2014
47,51702,2014
48,53248,2014
49,54841,2014
50,56482,2014
51,58172,2014
52,59900,2014
53,61845,2014
54,63783,2014
55,65852,2014
56,67918,2014
57,70123,2014
58,72325,2014
59,74852,2014
60,77377,2014
61,80079,2014
62,82309,2014
63,86111,2014
64,89435,2014
65,92095,2014
66,94756,2014
1,13621,2013
2,13977,2013
3,14344,2013
4,14665,2013
5,15054,2013
6,15456,2013
7,15815,2013
8,16252,2013
9,16705,2013
10,17184,2013
11,17678,2013
12,18185,2013
13,18708,2013
14,19247,2013
15,19802,2013
16,20374,2013
17,20972,2013
18,21597,2013
19,22240,2013
20,22927,2013
21,23585,2013
22,24289,2013
23,25013,2013
24,25759,2013
25,26527,2013
26,27318,2013
27,28132,2013
28,28972,2013
29,29837,2013
30,30728,2013
31,31644,2013
32,32590,2013
33,33562,2013
34,34565,2013
35,35597,2013
36,36661,2013
37,37756,2013
38,38907,2013
39,40046,2013
40,41242,2013
41,42476,2013
42,43745,2013
43,45053,2013
44,46400,2013
45,47787,2013
46,49216,2013
47,50688,2013
48,52204,2013
49,53765,2013
50,55375,2013
51,57031,2013
52,58725,2013
53,60632,2013
54,62532,2013
55,64561,2013
56,66586,2013
57,68748,2013
58,70907,2013
59,73384,2013
60,75860,2013
61,78509,2013
62,80695,2013
63,84423,2013
64,87681,2013
65,90289,2013
66,92898,2013
